Price,Manufacturer,Model,Category,Engine volume,Mileage,Cylinders,Airbags,Manufacturer_encoded,Model_encoded,Has Turbo,Age,Category_encoded_1,Category_encoded_2,Fuel type_CNG,Fuel type_Diesel,Fuel type_LPG,Fuel type_Other,Fuel type_Petrol,Gear box type_1,Gear box type_2,Doors_2-3,Doors_4-5,Doors_>5,Wheel_Left wheel,Wheel_Right-hand drive
13328,LEXUS,RX 450,Jeep,3.5,0.9473736310046418,6.0,12,11,805,0,13,False,True,False,False,False,True,False,True,False,False,True,False,True,False
16621,CHEVROLET,Equinox,Jeep,3.0,1.0345121018792989,6.0,8,2,415,0,12,False,True,False,False,False,False,True,False,True,False,True,False,True,False
11726,HONDA,FIT,Hatchback,1.3,-0.420445995882551,4.0,4,6,432,0,9,True,False,False,False,False,False,True,True,False,False,True,False,True,False
39493,HYUNDAI,Santa FE,Jeep,2.0,0.5829182484006136,4.0,4,7,836,0,7,False,True,False,True,False,False,False,True,False,False,True,False,True,False
26657,LEXUS,RX 350,Jeep,3.5,0.11152746459143914,6.0,12,11,799,0,16,False,True,False,False,False,False,True,True,False,False,True,False,True,False
28382,HYUNDAI,Elantra,Sedan,1.8,-0.9667366196278567,4.0,4,7,395,0,7,True,False,False,False,False,False,True,True,False,False,True,False,True,False
18826,HYUNDAI,Elantra,Sedan,1.6,-0.11892799090775794,4.0,4,7,395,0,11,True,False,False,False,False,False,True,True,False,False,True,False,True,False
20698,TOYOTA,Prius,Sedan,1.8,0.9618361461873414,4.0,12,23,733,0,11,True,False,False,False,False,True,False,True,False,False,True,False,True,False
17562,TOYOTA,Camry,Sedan,2.5,-1.1790666917774797,4.0,12,23,257,0,6,True,False,False,False,False,False,True,True,False,False,True,False,True,False
20385,MERCEDES-BENZ,E 220,Sedan,2.2,1.2961455423703456,4.0,8,13,348,1,17,True,False,False,True,False,False,False,False,True,False,True,False,True,False
14454,HYUNDAI,Elantra,Sedan,1.6,0.5517547985999022,4.0,4,7,395,0,12,True,False,False,False,False,False,True,True,False,False,True,False,True,False
15681,MERCEDES-BENZ,Vito,Goods wagon,2.0,0.8600898082186009,6.0,4,13,949,1,16,True,False,False,True,False,False,False,False,True,False,True,False,True,False
19444,Other,Other,Jeep,3.0,0.7882278232303933,6.0,12,18,695,0,9,False,True,False,True,False,False,False,True,False,False,True,False,True,False
24462,JEEP,Grand Cherokee,Jeep,3.0,1.8775531879060052,6.0,10,9,516,1,16,False,True,False,True,False,False,False,False,True,False,True,False,True,False
23235,HYUNDAI,Santa FE,Jeep,2.0,0.5984563677275541,4.0,4,7,836,0,12,False,True,False,True,False,False,False,True,False,False,True,False,True,False
19121,HYUNDAI,Elantra,Sedan,1.6,-0.25199766577973204,4.0,4,7,395,0,11,True,False,False,False,False,False,True,True,False,False,True,False,True,False
24462,TOYOTA,Camry,Sedan,2.4,1.1973062426292835,4.0,4,23,257,0,10,True,False,False,False,False,False,True,True,False,False,True,False,True,False
45734,HYUNDAI,H1,Universal,2.5,-0.8687694313550981,4.0,4,7,523,0,7,False,True,False,True,False,False,False,True,False,False,True,False,True,False
20165,VOLKSWAGEN,Jetta,Sedan,1.4,-1.5934504559418827,4.0,8,24,567,1,7,True,False,False,False,False,False,True,False,True,False,True,False,True,False
21326,HYUNDAI,Sonata,Sedan,2.4,0.2932173538213328,4.0,12,7,852,0,9,True,False,False,False,False,True,False,False,True,False,True,False,True,False
15681,TOYOTA,Prius C,Hatchback,1.5,0.10425986902224339,4.0,8,23,740,0,11,True,False,False,False,False,True,False,True,False,False,True,False,True,False
12544,TOYOTA,Aqua,Hatchback,1.5,0.3004849493905285,4.0,8,23,138,0,11,True,False,False,False,False,True,False,True,False,False,True,False,False,True
17249,FORD,Escape Hybrid,Jeep,2.3,0.3804285006516817,4.0,8,5,420,0,15,False,True,False,False,False,True,False,True,False,False,True,False,True,False
34889,HONDA,Civic,Sedan,2.0,-0.48051994085752303,4.0,4,6,291,0,7,True,False,False,False,False,False,True,True,False,False,True,False,True,False
14583,RENAULT,Megane 1.5CDI,Sedan,1.5,0.17027870717281754,4.0,10,19,662,1,15,True,False,False,True,False,False,False,False,True,False,True,False,True,False
38500,AUDI,Q5,Jeep,2.0,-0.4916829676518077,1.0,12,0,768,0,9,False,True,False,False,False,False,True,False,True,False,True,False,True,False
23521,CHEVROLET,Cruze LT,Sedan,1.4,-1.4364703916472545,4.0,6,2,330,1,5,True,False,False,False,False,False,True,True,False,False,True,False,True,False
16935,FORD,Fusion,Sedan,1.6,-0.5498237322053736,4.0,8,5,472,1,10,True,False,False,False,False,False,True,False,True,False,True,False,True,False
10349,TOYOTA,VOXY,Minivan,2.4,0.714737896834686,4.0,6,23,932,0,16,False,True,False,False,False,False,True,True,False,False,True,False,False,True
20526,HYUNDAI,Tucson,Jeep,2.0,1.154848949314042,4.0,4,7,926,0,10,False,True,False,True,False,False,False,True,False,False,True,False,True,False
34657,HYUNDAI,H1,Minivan,2.5,0.4919424870654212,4.0,4,7,523,0,9,False,True,False,True,False,False,False,True,False,False,True,False,True,False
36564,HYUNDAI,H1,Minivan,2.5,-0.14328897125570206,4.0,4,7,523,0,7,False,True,False,True,False,False,False,True,False,False,True,False,True,False
30063,HYUNDAI,H1,Universal,2.5,0.3964898868596043,4.0,4,7,523,0,8,False,True,False,True,False,False,False,True,False,False,True,False,True,False
15800,CHEVROLET,Captiva,Jeep,2.2,1.9568571907570693,4.0,4,2,278,0,12,False,True,False,True,False,False,False,True,False,False,True,False,True,False
43952,HYUNDAI,H1,Universal,2.5,-0.13349225242842622,4.0,4,7,523,0,6,False,True,False,True,False,False,False,True,False,False,True,False,True,False
14740,TOYOTA,Prius,Hatchback,1.8,2.4298904511648822,4.0,8,23,733,0,12,True,False,False,False,False,True,False,True,False,False,True,False,True,False
42337,FORD,Mustang,Cabriolet,2.3,-0.6661052613125056,4.0,6,5,672,1,7,False,True,False,False,False,False,True,False,True,True,False,False,True,False
18189,TOYOTA,Prius,Sedan,1.8,0.7874138525266434,4.0,8,23,733,0,11,True,False,False,False,False,False,True,True,False,False,True,False,True,False
21953,HONDA,Civic,Sedan,1.4,-1.5236815384776035,8.0,10,6,291,0,9,True,False,False,False,False,True,False,True,False,False,True,False,False,True
